"file","variable","state","ledger","source","kind"
"lassa_sitrep_2018_w14_20180401.pdf","deaths","FCT",NA,1,"missing from ledger"
"lassa_sitrep_2018_w15_20180408.pdf","deaths","Kogi","1",NA,"not in source"
"lassa_sitrep_2018_w23_20180603.pdf","deaths","Edo","0",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w26_20180624.pdf","deaths","Plateau","0",1,"value differs"
"lassa_sitrep_2018_w26_20180624.pdf","deaths","Ondo","1",NA,"not in source"
"lassa_sitrep_2018_w27_20180701.pdf","deaths","Ondo","0",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w27_20180701.pdf","deaths","Edo","0",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w34_20180819.pdf","deaths","Edo","2",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w36_20180902.pdf","deaths","Edo","1",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w43_20181021.pdf","deaths","Ondo","2",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w47_20181118.pdf","deaths","Edo","0",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w47_20181118.pdf","deaths","Ondo","1",NA,"source not stratified; expected NA"
"lassa_sitrep_2018_w50_20181210.pdf","deaths","Adamawa","0",1,"value differs"
