"file","week_page","note","confirmed_source_total","confirmed_source_states","confirmed_ledger_states","confirmed_stratified","confirmed_ok","confirmed_bad","deaths_source_total","deaths_source_states","deaths_ledger_states","deaths_stratified","deaths_ok","deaths_bad","deaths_source_inconsistent"
"lassa_sitrep_2019_w01_20190101.pdf",1,"",25,8,6,TRUE,6,2,7,6,6,TRUE,5,1,NA
"lassa_sitrep_2019_w02_20190107.pdf",2,"",35,7,7,TRUE,7,0,8,6,7,TRUE,6,0,NA
"lassa_sitrep_2019_w03_20190114.pdf",3,"",74,7,7,TRUE,7,0,12,6,7,TRUE,5,1,NA
"lassa_sitrep_2019_w04_20190126.pdf",4,"",77,14,14,TRUE,14,0,11,7,14,TRUE,7,0,TRUE
"lassa_sitrep_2019_w05_20190202.pdf",5,"",68,13,14,TRUE,13,0,14,9,14,TRUE,9,0,NA
"lassa_sitrep_2019_w06_20190209.pdf",6,"",37,9,9,TRUE,9,0,10,4,9,TRUE,4,0,NA
"lassa_sitrep_2019_w07_20190216.pdf",7,"",25,8,8,TRUE,8,0,6,3,8,TRUE,3,0,NA
"lassa_sitrep_2019_w08_20190223.pdf",8,"",23,8,8,TRUE,8,0,6,6,8,TRUE,6,0,NA
"lassa_sitrep_2019_w09_20190302.pdf",9,"",39,6,6,TRUE,6,0,8,3,6,TRUE,3,0,NA
"lassa_sitrep_2019_w10_20190309.pdf",10,"",52,8,8,TRUE,8,0,11,4,8,TRUE,4,0,NA
"lassa_sitrep_2019_w11_20190316.pdf",11,"",23,9,9,TRUE,9,0,4,3,9,TRUE,3,0,NA
"lassa_sitrep_2019_w12_20190323.pdf",12,"",15,6,5,TRUE,5,1,5,3,5,TRUE,3,0,NA
"lassa_sitrep_2019_w13_20190330.pdf",13,"",16,5,5,TRUE,5,0,2,2,5,TRUE,2,0,NA
"lassa_sitrep_2019_w14_20190406.pdf",14,"",11,5,5,TRUE,5,0,1,1,5,TRUE,0,1,NA
"lassa_sitrep_2019_w15_20190413.pdf",15,"",3,2,2,TRUE,2,0,0,0,2,TRUE,0,0,NA
"lassa_sitrep_2019_w16_20190420.pdf",16,"",6,4,4,TRUE,4,0,1,1,4,TRUE,1,0,NA
"lassa_sitrep_2019_w17_20190427.pdf",17,"",8,4,4,TRUE,4,0,1,1,4,TRUE,1,0,NA
