"file","states_entered","na_values","led_suspected","led_confirmed","led_probable","led_deaths","epi_week","year","wk_suspected","wk_confirmed","wk_probable","wk_deaths","wk_states","parse_flags","diff_suspected","diff_confirmed","diff_probable","diff_deaths","diff_states","any_mismatch"
"lassa_sitrep_2020_w26_20200627.pdf",2,0,67,4,0,2,26,2020,67,4,0,2,2,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w31_20200801.pdf",1,0,46,3,0,1,31,2020,46,3,0,1,1,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w39_20200926.pdf",2,0,41,7,0,1,39,2020,41,7,0,1,2,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w44_20201031.pdf",4,0,79,11,0,1,44,2020,79,11,0,1,4,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w45_20201107.pdf",2,0,98,5,0,1,45,2020,98,5,0,1,2,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w46_20201114.pdf",1,0,91,2,0,1,46,2020,91,2,0,1,1,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w47_20201121.pdf",5,0,81,10,0,2,47,2020,81,10,0,2,5,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w48_20201128.pdf",3,0,133,6,0,2,48,2020,133,6,0,2,3,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w49_20201205.pdf",2,0,69,4,0,1,49,2020,69,4,0,1,2,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w50_20201212.pdf",3,0,55,5,0,1,50,2020,55,5,0,1,3,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w51_20201219.pdf",2,0,78,12,0,1,51,2020,78,12,0,1,2,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w52_20201226.pdf",4,0,63,6,0,0,52,2020,64,6,0,1,4,"named_states",-1,0,0,-1,0,TRUE
"lassa_sitrep_2020_w53_20201231.pdf",4,0,59,8,0,0,53,2020,59,8,0,0,4,"named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w01_20200104.pdf",5,10,NA,18,NA,2,1,NA,98,18,NA,2,NA,"early_layout;year;states_affected;lgas_affected;named_states",NA,0,NA,0,NA,FALSE
"lassa_sitrep_2020_w02_20200111.pdf",7,21,NA,64,NA,NA,2,NA,158,64,NA,12,NA,"early_layout;year;states_affected;lgas_affected;named_states",NA,0,NA,NA,NA,FALSE
"lassa_sitrep_2020_w03_20200118.pdf",5,15,NA,79,NA,NA,3,NA,159,81,NA,10,NA,"early_layout;year;states_affected;lgas_affected;named_states",NA,-2,NA,NA,NA,TRUE
"lassa_sitrep_2020_w04_20200125.pdf",19,57,NA,97,NA,NA,4,NA,318,95,3,19,19,"year;table1_prior_year_row;named_states",NA,2,NA,NA,0,TRUE
"lassa_sitrep_2020_w05_20200201.pdf",15,15,NA,104,NA,NA,5,NA,531,104,0,6,15,"year;table1_prior_year_row;named_states",NA,0,NA,NA,0,FALSE
"lassa_sitrep_2020_w06_20200208.pdf",19,0,482,109,NA,8,6,NA,482,109,1,8,19,"year;table1_prior_year_row;named_states",0,0,NA,0,0,FALSE
"lassa_sitrep_2020_w08_20200222.pdf",18,0,456,102,0,4,8,NA,456,102,0,13,18,"year;named_states",0,0,0,-9,0,TRUE
"lassa_sitrep_2020_w09_20200229.pdf",9,0,421,85,0,11,9,NA,421,85,0,11,9,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w10_20200307.pdf",15,0,363,81,2,9,10,NA,364,81,2,9,15,"year;named_states",-1,0,0,0,0,TRUE
"lassa_sitrep_2020_w11_20200314.pdf",12,0,319,50,0,9,11,NA,319,51,0,9,12,"year;named_states",0,-1,0,0,0,TRUE
"lassa_sitrep_2020_w12_20200321.pdf",12,0,279,28,0,3,12,NA,279,28,0,3,12,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w13_20200328.pdf",7,0,177,18,0,1,13,NA,182,19,0,1,8,"year;named_states",-5,-1,0,0,-1,TRUE
"lassa_sitrep_2020_w14_20200404.pdf",5,0,92,12,0,3,14,NA,93,12,0,3,5,"year;named_states",-1,0,0,0,0,TRUE
"lassa_sitrep_2020_w15_20200411.pdf",5,0,99,10,0,0,15,NA,99,10,0,0,5,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w16_20200418.pdf",3,0,86,6,0,0,16,NA,89,6,0,0,3,"year;named_states",-3,0,0,0,0,TRUE
"lassa_sitrep_2020_w17_20200425.pdf",3,0,82,7,0,0,17,NA,83,8,0,0,4,"year;named_states",-1,-1,0,0,-1,TRUE
"lassa_sitrep_2020_w18_20200502.pdf",4,0,64,5,0,2,18,NA,64,5,0,2,4,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w19_20200509.pdf",4,0,72,9,0,1,19,NA,72,9,0,1,4,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w20_20200516.pdf",3,0,68,6,0,1,20,NA,68,6,0,1,3,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w21_20200523.pdf",4,0,80,9,0,2,21,NA,80,9,0,2,4,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w22_20200530.pdf",4,0,73,6,0,0,22,NA,73,6,0,0,4,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w23_20200606.pdf",2,0,91,5,0,0,23,NA,NA,NA,NA,NA,NA,"year;table1_week_row;table1_cumulative_row;table1_prior_year_row;states_affected;lgas_affected;named_states",NA,NA,NA,NA,NA,FALSE
"lassa_sitrep_2020_w24_20200613.pdf",2,0,74,5,0,2,24,NA,74,5,0,2,2,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w25_20200620.pdf",4,0,55,5,0,2,25,NA,NA,NA,NA,NA,NA,"year;table1_week_row;table1_cumulative_row;table1_prior_year_row;states_affected;lgas_affected;named_states",NA,NA,NA,NA,NA,FALSE
"lassa_sitrep_2020_w27_20200704.pdf",2,0,52,3,0,0,27,NA,52,3,0,0,2,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w28_20200711.pdf",1,0,33,3,0,0,28,NA,33,3,0,0,1,"year;named_states",0,0,0,0,0,FALSE
"lassa_sitrep_2020_w29_20200718.pdf",1,0,80,5,0,1,29,NA,NA,NA,NA,NA,NA,"year;table1_week_row;table1_cumulative_row;table1_prior_year_row;states_affected;lgas_affected;named_states",NA,NA,NA,NA,NA,FALSE
"lassa_sitrep_2020_w30_20200725.pdf",0,0,26,0,0,0,30,NA,NA,NA,NA,NA,NA,"year;table1_week_row;table1_cumulative_row;table1_prior_year_row;states_affected;lgas_affected;named_states",NA,NA,NA,NA,NA,FALSE
"lassa_sitrep_2020_w32_20200808.pdf",2,0,56,6,0,0,32,NA,56,6,0,0,2,"year;named_states",0,0,0,0,0,FALSE
