"file","states_entered","na_values","led_suspected","led_confirmed","led_probable","led_deaths","epi_week","year","wk_suspected","wk_confirmed","wk_probable","wk_deaths","wk_states","parse_flags","cum_suspected","cum_confirmed","cum_probable","cum_deaths","source","year_wk","file_wk","cumdiff_suspected","cumdiff_confirmed","cumdiff_probable","cumdiff_deaths","ocr_agree","diff_suspected","diff_confirmed","diff_probable","diff_deaths","diff_states","any_mismatch","matches_cumdiff"
"lassa_sitrep_2020_w01_20200104.pdf",5,10,NA,18,NA,2,1,NA,98,18,NA,2,NA,"early_layout;year;states_affected;lgas_affected;named_states",NA,NA,NA,NA,"text",2020,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,FALSE,NA
"lassa_sitrep_2020_w02_20200111.pdf",7,21,NA,64,NA,NA,2,NA,158,64,NA,12,NA,"early_layout;year;states_affected;lgas_affected;named_states",NA,NA,NA,NA,"text",2020,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA
"lassa_sitrep_2020_w03_20200118.pdf",6,17,NA,81,0,NA,3,NA,159,81,NA,10,NA,"early_layout;year;states_affected;lgas_affected;named_states",NA,NA,NA,NA,"text",2020,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA
"lassa_sitrep_2020_w04_20200125.pdf",19,57,NA,95,NA,NA,4,NA,NA,NA,NA,NA,19,"year;table1_prior_year_row;named_states;week_row_unreliable",NA,NA,NA,NA,NA,2020,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,NA
"lassa_sitrep_2020_w05_20200201.pdf",15,15,NA,104,NA,NA,5,NA,NA,NA,NA,NA,15,"year;table1_prior_year_row;named_states;week_row_unreliable",NA,NA,NA,NA,NA,2020,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,NA
"lassa_sitrep_2020_w06_20200208.pdf",19,0,482,109,NA,8,6,NA,NA,NA,NA,NA,19,"year;table1_prior_year_row;named_states;week_row_unreliable",NA,NA,NA,NA,NA,2020,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,NA
"lassa_sitrep_2020_w07_20200215.pdf",16,0,471,115,3,18,NA,NA,471,115,3,18,16,"epi_week;year;named_states",2176,586,7,103,"text",2020,7,NA,NA,NA,NA,NA,0,0,0,0,0,FALSE,NA
"lassa_sitrep_2020_w08_20200222.pdf",18,0,456,102,0,4,8,NA,456,102,0,13,18,"year;named_states",2633,689,9,118,"text",2020,8,NA,NA,NA,NA,NA,0,0,0,-9,0,TRUE,NA
"lassa_sitrep_2020_w09_20200229.pdf",9,0,421,85,0,11,9,NA,421,85,0,11,9,"year;named_states",3054,775,9,132,"text",2020,9,NA,NA,NA,NA,NA,0,0,0,0,0,FALSE,NA
"lassa_sitrep_2020_w10_20200307.pdf",15,0,364,81,2,9,10,NA,364,81,2,9,15,"year;named_states",3416,855,11,144,"text",2020,10,NA,NA,NA,NA,NA,0,0,0,0,0,FALSE,NA
