"year","week","variable","ledger_sum","table1_week","cumulative_diff","table3_total","verdict","note"
"2021",2,"confirmed",12,14,"","","",""
"2021",2,"deaths",1,2,"","","",""
"2021",7,"suspected",108,113,"","","",""
"2021",8,"suspected",142,140,"","","",""
"2021",13,"probable",0,1,"","","",""
"2021",25,"suspected",64,65,"","","",""
"2021",27,"suspected",68,69,"69","","",""
"2021",31,"suspected",61,65,"","","",""
"2021",33,"suspected",58,98,"","","",""
"2021",35,"suspected",74,70,"70","","",""
"2021",38,"suspected",77,7,"79","","",""
"2021",46,"suspected",105,108,"107","","",""
"2021",51,"suspected",193,209,"209","","",""
"2021",51,"confirmed",29,28,"28","","",""
"2021",51,"deaths",3,7,"7","","",""
"2021",52,"suspected",173,174,"172","","",""
