"action","Image_File","Epi_Week","Region_Name","Variable","Value_before","detail"
"deaths NA -> 0","lassa_sitrep_2018_w06_20180204.pdf",5,"Edo","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w07_20180211.pdf",6,"Ebonyi","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w07_20180211.pdf",6,"Kogi","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w07_20180211.pdf",6,"Taraba","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w08_20180218.pdf",7,"Edo","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w08_20180218.pdf",7,"Ebonyi","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w08_20180218.pdf",7,"Anambra","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w08_20180218.pdf",7,"Imo","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w08_20180218.pdf",7,"Federal Capital Territory","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w09_20180225.pdf",8,"Nasarawa","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w09_20180225.pdf",8,"Kogi","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w09_20180225.pdf",8,"Imo","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w10_20180304.pdf",9,"Bauchi","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA -> 0","lassa_sitrep_2018_w10_20180304.pdf",9,"Plateau","deaths",NA,"document lists deaths by state; omitted state is zero"
"deaths NA kept","lassa_sitrep_2018_w02_20180107.pdf",1,"Bauchi","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Edo","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Ondo","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Nasarawa","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Ebonyi","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Benue","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Kogi","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Lagos","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w04_20180121.pdf",3,"Imo","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w05_20180128.pdf",4,"Edo","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w05_20180128.pdf",4,"Ondo","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w05_20180128.pdf",4,"Delta","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w05_20180128.pdf",4,"Imo","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"deaths NA kept","lassa_sitrep_2018_w05_20180128.pdf",4,"Taraba","deaths",NA,"document gives a national deaths figure only, or no deaths clause"
"confirmed NA -> 14","lassa_sitrep_2018_w04_20180121.pdf",3,"Ondo","confirmed",NA,"source: 'Edo (11), Ondo (14), ...'; value had been entered under probable"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Ondo","suspected","17","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Edo","suspected","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Edo","probable","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Bauchi","suspected","3","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Bauchi","probable","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Ebonyi","suspected","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Ebonyi","probable","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Anambra","suspected","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Anambra","probable","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Nasarawa","suspected","4","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Nasarawa","probable","0","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Ondo","probable","14","real value dropped by decision; recoverable from source"
"dropped","lassa_sitrep_2018_w02_20180107.pdf",1,"Bauchi","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w02_20180107.pdf",1,"Bauchi","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w03_20180114.pdf",2,"Ondo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Edo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Edo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Ondo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Nasarawa","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Nasarawa","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Ebonyi","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Ebonyi","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Benue","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Benue","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Kogi","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Kogi","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Lagos","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Lagos","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Imo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w04_20180121.pdf",3,"Imo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Edo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Edo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Ondo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Ondo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Delta","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Delta","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Imo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Imo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Taraba","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w05_20180128.pdf",4,"Taraba","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Edo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Edo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Gombe","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Gombe","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Ondo","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Ondo","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Plateau","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Plateau","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Anambra","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Anambra","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Delta","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Delta","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Osun","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Osun","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Rivers","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Rivers","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Federal Capital Territory","suspected",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w06_20180204.pdf",5,"Federal Capital Territory","probable",NA,"NA placeholder from an earlier schema"
"dropped","lassa_sitrep_2018_w07_20180211.pdf",6,"Ebonyi","suspected",NA,"NA placeholder from an earlier schema"
